Date,High,Low,Open,Close,Volume,Adj Close,Polarity Score
03-01-2022,3.400000059627928e-05,3.199999991920777e-05,3.400000059627928e-05,3.300000025774352e-05,720676202,3.300000025774352e-05,0.09586716666666666
03-02-2022,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,2.099999983329326e-05,421850042,2.099999983329326e-05,0.14602035000000002
03-03-2022,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,963213922,2.499999936844688e-05,0.1381425
03-04-2022,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.700000004551839e-05,918512393,2.700000004551839e-05,0.14641722
04-01-2022,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,717218977,3.199999991920777e-05,0.0710152
04-02-2022,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,2.2000000171829015e-05,609855710,2.2000000171829015e-05,0.09634218
04-03-2022,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,2.4000000848900527e-05,977852640,2.4000000848900527e-05,0.08510676
04-04-2022,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,1101356399,2.5999999706982635e-05,0.09083162
13-02-2022,3.199999991920777e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.9999999242136255e-05,2065365631,2.9999999242136255e-05,0.11319982527664532
13-03-2022,2.300000051036477e-05,2.099999983329326e-05,2.2000000171829015e-05,2.2000000171829015e-05,660720467,2.2000000171829015e-05,0.1110595
13-04-2022,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05,2.700000004551839e-05,2032682825,2.700000004551839e-05,0.11992016000000001
14-02-2022,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,2.9999999242136255e-05,1558119657,2.9999999242136255e-05,0.36739109999999997
14-03-2022,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,2.2000000171829015e-05,632243876,2.2000000171829015e-05,0.07584052000000001
14-04-2022,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,2.5999999706982635e-05,1152162515,2.5999999706982635e-05,0.16788908000000002
15-02-2022,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,3.099999958067201e-05,1602354887,3.099999958067201e-05,0.15053454876937103
15-03-2022,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,2.2000000171829015e-05,640514222,2.2000000171829015e-05,0.10092228
15-04-2022,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,464520286,2.5999999706982635e-05,0.11524201861130995
16-02-2022,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,3.099999958067201e-05,1350071541,3.099999958067201e-05,0.010104740608228987
16-03-2022,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.300000051036477e-05,841713079,2.300000051036477e-05,0.07603558
16-04-2022,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,2.5999999706982635e-05,338664091,2.5999999706982635e-05,0.1312673
17-02-2022,3.199999991920777e-05,2.8000000384054147e-05,3.099999958067201e-05,2.8000000384054147e-05,2067544526,2.8000000384054147e-05,0.23253940520446098
17-03-2022,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,594487997,2.2000000171829015e-05,0.13307236
17-04-2022,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,420838842,2.499999936844688e-05,0.12946602000000001
18-02-2022,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,1458694142,2.8000000384054147e-05,0.2451443920829406
18-03-2022,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,696479699,2.2000000171829015e-05,0.08927542
18-04-2022,2.499999936844688e-05,2.4000000848900527e-05,2.499999936844688e-05,2.499999936844688e-05,713137006,2.499999936844688e-05,0.14183268000000002
19-02-2022,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,2.8000000384054147e-05,929189862,2.8000000384054147e-05,0.0001678301886792453
19-03-2022,2.499999936844688e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.4000000848900527e-05,1912871449,2.4000000848900527e-05,0.22352464
19-04-2022,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,514266085,2.499999936844688e-05,0.14101148
20-02-2022,2.8000000384054147e-05,2.499999936844688e-05,2.8000000384054147e-05,2.5999999706982635e-05,1235841144,2.5999999706982635e-05,0.2194735
20-03-2022,2.4000000848900527e-05,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,1176567440,2.300000051036477e-05,0.11055491999999999
20-04-2022,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,628811523,2.499999936844688e-05,0.12765532000000002
21-02-2022,2.700000004551839e-05,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2001180593,2.4000000848900527e-05,0.135519375
21-03-2022,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,2.300000051036477e-05,746003820,2.300000051036477e-05,0.11594362000000001
21-04-2022,2.499999936844688e-05,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,520836111,2.4000000848900527e-05,0.13112878
22-02-2022,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,2.499999936844688e-05,1524043647,2.499999936844688e-05,0.11250320000000001
22-03-2022,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,987790840,2.300000051036477e-05,0.0
22-04-2022,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,431642746,2.4000000848900527e-05,0.11292564
23-02-2022,2.700000004551839e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,1728129985,2.499999936844688e-05,0.15350195
23-03-2022,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,2.4000000848900527e-05,1272114432,2.4000000848900527e-05,0.14048446
23-04-2022,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,341880954,2.4000000848900527e-05,0.12186461999999999
